Anos;Spain;France;Italy;Moldova;United Kingdom;Romania;Ukraine;Angola;Cape Verde;Guiné-Bissau;Mozambique;S. Tomé e Príncipe;Brazil;China;India;Nepal
2008;7220;4576;3915;21067;15371;26425;52472;27307;50887;23842;3347;11402;106704;13313;5457;560
2009;8060;4883;4499;20726;16373;32457;52253;26292;48417;22404;3305;11142;115882;14373;5734;684
2010;8918;5111;5067;15632;17196;36830;49487;23233;43510;19304;3109;10175;119195;15600;5213;796
2011;9310;5293;5338;13586;17675;39312;48010;21329;43475;18131;2995;10274;111295;16595;5316;1144
2012;9351;5201;5222;11503;16649;35216;44050;19873;42388;17462;2901;10174;105518;17186;5574;1702
2013;9541;5268;5121;9968;16471;34204;41074;19967;42011;17574;2825;10169;91238;18445;5983;2551
2014;9692;6541;5328;8458;16559;31505;37809;19478;40563;17728;2813;10028;85288;21042;6372;3543
2015;10019;8440;6130;6945;17230;30523;35702;18088;38346;16817;2787;9405;80515;20815;6852;4795
2016;11133;11293;8523;6113;19384;30429;34428;16876;36193;15306;2823;8840;79569;21953;7142;5829
2017;12526;15319;12925;5207;22431;30750;32420;16764;34706;14951;2814;8478;83061;22698;7901;7435
2018;14066;19771;18862;4834;26445;30908;29197;18310;34444;15960;2999;9023;104504;24856;11340;11487
2019;15848;23125;25408;5098;34358;31065;29706;22592;37110;18780;3488;10078;150919;27780;17584;16847
2020;16981;24935;28159;5182;46238;30052;28621;24409;36466;19664;3675;10646;183875;26055;24548;21013
2021;18546;26719;30819;5177;41932;28911;27194;25751;33988;20346;3795;11176;204669;22777;30248;21545
